objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1681,E05002194,Biscot, ,508061,222392,-0.43116,51.88962173,0.000192462283324608,0.0655748867436796
1682,E05002195,Bramingham, ,507364,225869,-0.4402,51.92100906,0.000239162311787036,0.0810058286922604
1683,E05002196,Challney, ,505763,222928,-0.46438,51.89487839,0.000322565857363527,0.102595102092285
1684,E05002197,Crawley, ,510805,221254,-0.39166999,51.87886047,0.000249788070513848,0.0924982346967175
1685,E05002198,Dallow, ,507155,221871,-0.44448,51.88510895,0.000314699768714951,0.102495347187668
1686,E05002199,Farley, ,508060,220284,-0.43184,51.87068176,0.000442050964733367,0.105162220885069
1687,E05002200,High Town, ,509394,222226,-0.41185001,51.88787079,0.000202718001668299,0.0834354932427002
1688,E05002201,Icknield, ,508216,224877,-0.42813,51.91193008,0.000243184382968143,0.0726080468372666
1689,E05002202,Leagrave, ,505247,224325,-0.47145,51.90753174,0.000273892746236999,0.0792332709441017
1690,E05002203,Lewsey, ,503796,223484,-0.49278,51.90024948,0.000290948366088318,0.0857050167159036
1691,E05002204,Limbury, ,507039,224445,-0.44536999,51.90827179,0.000193871714467618,0.0703604710486823
1692,E05002205,Northwell, ,506511,225330,-0.45276999,51.91632843,0.000162032741225491,0.0622704916383397
1693,E05002206,Round Green, ,510176,222710,-0.40033999,51.89207077,0.000257162810446764,0.108426727023637
1694,E05002207,Saints, ,507361,223197,-0.44108,51.89699173,0.000242938050887134,0.0921868596425304
1695,E05002208,South, ,509454,220485,-0.41152999,51.87221146,0.000376005962090402,0.111899115101529
1696,E05002209,Stopsley, ,510568,224279,-0.39414001,51.90608978,0.00041000081579856,0.101291891088246
1697,E05002210,Sundon Park, ,505299,225539,-0.47031999,51.91843033,0.000268590741577198,0.0821262638692939
1698,E05002211,Wigmore, ,512186,221613,-0.37149999,51.88180923,0.000763290636528477,0.159227113811368
1699,E05002212,Belfairs, ,583583,187494,0.64684498,51.55644989,0.000341684135480729,0.104787741536152
1700,E05002213,Blenheim Park, ,585109,187393,0.66877902,51.5550499,0.000293449896822849,0.0918476775923231
1701,E05002214,Chalkwell, ,585918,185879,0.679636,51.54117966,0.000209896662509383,0.0650749282752209
1702,E05002215,Eastwood Park, ,583786,188981,0.65054703,51.5697403,0.000290171599303494,0.0914527933317191
1703,E05002216,Kursaal, ,589161,185613,0.72620201,51.53771973,0.000161473577555472,0.0617468895569543
1704,E05002217,Leigh, ,584422,186070,0.65818799,51.54338837,0.00019599783103843,0.109033476679926
1705,E05002218,Milton, ,587622,185567,0.70401299,51.53781891,0.000212500857448806,0.0796963351239454
1706,E05002219,Prittlewell, ,586800,187293,0.69309002,51.55358887,0.000321893281011547,0.106224462287905
1707,E05002220,St Laurence, ,586124,188474,0.68397498,51.56441879,0.000381198564315993,0.111827667082464
1708,E05002221,St. Luke's, ,588870,187438,0.72298998,51.55421066,0.000455182970285983,0.123152144182244
1709,E05002222,Shoeburyness, ,594006,185381,0.79584903,51.53398895,0.000492957983126311,0.145658670855337
1710,E05002223,Southchurch, ,591027,186871,0.75375801,51.54838943,0.000602791687382759,0.119616324328793
1711,E05002224,Thorpe, ,590800,185096,0.74952698,51.53252029,0.000355479341760337,0.0971061257802287
1712,E05002225,Victoria, ,588017,186416,0.71015501,51.54531097,0.000208375457436996,0.0735103721336238
1713,E05002226,Westborough, ,586431,186616,0.687415,51.54763031,0.000118871738534749,0.0557706064188334
1714,E05002227,West Leigh, ,582908,186492,0.63659799,51.54766846,0.000396280561649627,0.14154791764238
1715,E05002228,West Shoebury, ,592689,185306,0.77684301,51.53377151,0.000371418693487427,0.112620109546759
1716,E05002229,Aveley and Uplands, ,556293,181011,0.25066301,51.50642014,0.00129842976919447,0.227436302060892
1717,E05002230,Belhus, ,559221,181173,0.29289001,51.507061,0.00081288541383321,0.166502158265828
1718,E05002231,Chadwell St Mary, ,564742,179365,0.37153,51.48923111,0.000471103929411917,0.153610182828024
1719,E05002232,Chafford and North Stifford, ,560022,179830,0.30381301,51.49475861,0.000302572040103408,0.0990576458113311
1720,E05002233,Corringham and Fobbing, ,572464,183968,0.48489401,51.52827835,0.00264205719127599,0.428648374745506
1721,E05002234,East Tilbury, ,567308,178306,0.40795401,51.47896957,0.00223252380505922,0.279884779475135
1722,E05002235,Grays Riverside, ,560873,178128,0.31528601,51.47922897,0.000303920021882674,0.112607121942989
1723,E05002236,Grays Thurrock, ,561725,178544,0.32773501,51.48273087,0.000233873878924007,0.0843894652276191
1724,E05002237,Little Thurrock Blackshots, ,562932,179722,0.34564599,51.49296188,0.000279244780274702,0.0954986354680128
1725,E05002238,Little Thurrock Rectory, ,563012,178449,0.34621099,51.48149872,0.000211343695167925,0.0643312385862072
1726,E05002239,Ockendon, ,559647,183094,0.29989299,51.52420044,0.00149227286239235,0.206076362330302
1727,E05002240,Orsett, ,564869,183889,0.37547001,51.52983856,0.00611919377147223,0.425751407716321
1728,E05002241,South Chafford, ,559504,178876,0.29592699,51.48633957,0.000181919885472935,0.0588998443243597
1729,E05002242,Stanford East and Corringham Town, ,569774,183428,0.445894,51.52425003,0.000202980358294208,0.0735356070985932
1730,E05002243,Stanford-le-Hope West, ,569149,181814,0.43612,51.50992966,0.000885012679835514,0.210781677572557
